Settore Merceologico;Insegna;Ubicazione;Tipo via;Via;Civico;Codice via;ZD;Settore Storico Cf Preval;Superficie Vendita;Superficie Altri Usi;Superficie Tabelle Speciali;Superficie Totale
alimentare;;"CSO SEMPIONE N. 17 ; isolato:098; accesso: accesso esterno; (z.d. 1)";CSO;SEMPIONE;17;7137;1;bibite e bevande analcoliche;12;28;;40
alimentare;;"CSO SEMPIONE N. 34 ; isolato:059; (z.d. 8)";CSO;SEMPIONE;34;7137;8;panineria - focacceria;53;;;119
alimentare;;"CSO VENTIDUE MARZO N. 18 ; isolato:044; accesso: accesso esterno; (z.d. 4)";CSO;VENTIDUE MARZO;18;3074;4;salumeria - rosticceria - cibi;65;126;;191
alimentare;;"CSO VENTIDUE MARZO N. 23 ; isolato:036; accesso: accesso esterno; (z.d. 4)";CSO;VENTIDUE MARZO;23;3074;4;salumeria - rosticceria - cibi;58;;;86
alimentare;;"CSO VENTIDUE MARZO N. 30 ; isolato:260; accesso: accesso esterno; (z.d. 4)";CSO;VENTIDUE MARZO;30;3074;4;panificio (con forno);35;35;;70
alimentare;;"CSO VENTIDUE MARZO N. 36 ; isolato:260; (z.d. 4)";CSO;VENTIDUE MARZO;36;3074;4;bibite e bevande analcoliche;20;50;;70
alimentare;;"CSO VENTIDUE MARZO N. 36 ; isolato:260; (z.d. 4)";CSO;VENTIDUE MARZO;36;3074;4;gelateria;12;;;12
alimentare;;"CSO VENTIDUE MARZO N. 40 ; isolato:260; accesso: accesso esterno; (z.d. 4)";CSO;VENTIDUE MARZO;40;3074;4;bibite e bevande analcoliche;12;;;12
alimentare;;"CSO VENTIDUE MARZO N. 49 ; isolato:249; accesso: accesso esterno; (z.d. 4)";CSO;VENTIDUE MARZO;49;3074;4;pescheria;16;32;;48
alimentare;;CSO VENTIDUE MARZO N. 5 (z.d. 4);CSO;VENTIDUE MARZO;5;3074;4;gelato, panna, frullati, ecc...;20;;;48
alimentare;;"CSO VENTIDUE MARZO N. 63 ; isolato:252; accesso: accesso esterno; (z.d. 4)";CSO;VENTIDUE MARZO;63;3074;4;bibite e bevande analcoliche;35;23;;58
alimentare;;"CSO VERCELLI N. 14 ; isolato:216; accesso: accesso esterno; (z.d. 7)";CSO;VERCELLI;14;6193;7;salumeria - rosticceria - cibi;128;4;64;68
alimentare;;"CSO VERCELLI N. 37 ; isolato:235; accesso: accesso esterno; (z.d. 7)";CSO;VERCELLI;37;6193;7;minimercati;17;;;53
alimentare;;"CSO VERCELLI N. 9 ; isolato:236; accesso: accesso esterno; (z.d. 7)";CSO;VERCELLI;9;6193;7;cibi cotti da asportare;32;30;;62
alimentare;;"CSO VITTORIO EMANUELE II N. 24 ;cso vittorio emanuele ii 024; isolato:360; accesso: accesso esterno; (z.d. 1)";CSO;VITTORIO EMANUELE II;24;214;1;minimercati;87;3413;;3500
alimentare;;"ff cadorna codvia 9501 num.014 ; (z.d. 1)";CSO;GARIBALDI GIUSEPPE;113;1010;1;alimentari (noccioline salate) e bevande.;4;;;4
alimentare;;"FOR BUONAPARTE N. 63 ;for buonaparte 063; isolato:239; accesso: accesso esterno; (z.d. 1)";FOR;BUONAPARTE;63;711;1;vini - olii e liquori in recip;35;;;35
alimentare;;FOR BUONAPARTE N. 63 (z.d. 1);FOR;BUONAPARTE;63;711;1;vini e cioccolato.;23;;;32
alimentare;;"GLL DEL CORSO N. 4 ;via beccaria cesare 005; isolato:360; accesso: accesso esterno; (z.d. 1)";GLL;DEL CORSO;4;305;1;panetteria;28;30;;58
alimentare;;"GLL SAN BABILA num.004/b; isolato:264; (z.d. 1)";GLL;SAN BABILA;;360;1;pasticceria;40;;;180
alimentare;;"GLL UNIONE N. 4 ;gll unione 004; isolato:470; (z.d. 1)";GLL;UNIONE;4;510;1;bibite e bevande analcoliche;5;;;59
alimentare;;"LGO BRASILIA N. 4 ; isolato:120; accesso: accesso esterno; (z.d. 6)";LGO;BRASILIA;4;6145;6;macelleria;22;20;;42
alimentare;;"LGO DELLA CROCETTA N. 1 ;lgo della crocetta 001; isolato:115; accesso: accesso esterno; (z.d. 1)";LGO;DELLA CROCETTA;1;654;1;salumeria;24;;;77
alimentare;;"LGO GUERRIERI GONZAGA ANSELMO N. 1 box unificati 3 e 4.; isolato:114; accesso: accesso esterno; (z.d. 4)";LGO;GUERRIERI GONZAGA ANSELMO;1;3371;4;macelleria;88;25;;113
alimentare;;"LGO GUERRIERI GONZAGA ANSELMO N. 1 inter.mercato comunale coperto; isolato:114; accesso: accesso interno; (z.d. 4)";LGO;GUERRIERI GONZAGA ANSELMO;1;3371;4;panetteria;44;;;44
alimentare;;"LGO GUERRIERI GONZAGA ANSELMO N. 1 interno merc. comun. coperto; isolato:114; accesso: accesso interno; (z.d. 4)";LGO;GUERRIERI GONZAGA ANSELMO;1;3371;4;frutta, verdura e funghi;26;32;;58
alimentare;;"LGO GUERRIERI GONZAGA ANSELMO N. 1 interno merc. comun. coperto; isolato:114; accesso: accesso interno; (z.d. 4)";LGO;GUERRIERI GONZAGA ANSELMO;1;3371;4;latteria;44;;;44
alimentare;;"LGO GUERRIERI GONZAGA ANSELMO N. 1 interno merc. comun. coperto; isolato:114; accesso: accesso interno; (z.d. 4)";LGO;GUERRIERI GONZAGA ANSELMO;1;3371;4;panetteria;51;30;;81
alimentare;;"LGO GUERRIERI GONZAGA ANSELMO N. 1 interno merc. comun. coperto; isolato:114; accesso: accesso interno; (z.d. 4)";LGO;GUERRIERI GONZAGA ANSELMO;1;3371;4;pescheria;42;;;42
alimentare;;"LGO GUERRIERI GONZAGA ANSELMO N. 1 interno merc. comun. coperto; isolato:114; accesso: accesso interno; (z.d. 4)";LGO;GUERRIERI GONZAGA ANSELMO;1;3371;4;polleria;44;;;44
alimentare;;"LGO GUERRIERI GONZAGA ANSELMO N. 1 interno merc. comun. coperto; isolato:114; accesso: accesso interno; (z.d. 4)";LGO;GUERRIERI GONZAGA ANSELMO;1;3371;4;salumeria;44;1;;45
alimentare;;"LGO GUERRIERI GONZAGA ANSELMO N. 1 int. mercato comunale coperto; isolato:114; accesso: accesso interno; (z.d. 4)";LGO;GUERRIERI GONZAGA ANSELMO;1;3371;4;macelleria;44;;;44
alimentare;;"LGO LA FOPPA N. 1 ; isolato:085; accesso: accesso esterno; (z.d. 1)";LGO;LA FOPPA;1;1033;1;surgelati;195;360;;555
alimentare;;"LGO MURANI ORESTE N. 2 ; isolato:151; accesso: accesso esterno; (z.d. 3)";LGO;MURANI ORESTE;2;3234;3;panetteria;32;40;;72
alimentare;;"LGO RICHINI FRANCESCO N. 14 ;lgo richini francesco 014; isolato:326; accesso: accesso esterno; (z.d. 1)";LGO;RICHINI FRANCESCO;14;331;1;macelleria;25;;;25
alimentare;;"LGO RODARI GIANNI N. 2 ; isolato:271; accesso: accesso esterno; (z.d. 4)";LGO;RODARI GIANNI;2;3305;4;panetteria;26;;;40
alimentare;;"LGO RODARI GIANNI N. 2 ; isolato:271; (z.d. 4)";LGO;RODARI GIANNI;2;3305;4;bibite e bevande analcoliche;1;67;;68
alimentare;;"LGO SCALABRINI GIOVANNI BATTISTA N. 2 ; isolato:141; (z.d. 6)";LGO;SCALABRINI GIOVANNI BATTISTA;2;5392;6;vini - olii e liquori in recip;27;35;;62
alimentare;;"LGO SETTIMIO SEVERO N. 1 ; isolato:236; accesso: accesso esterno; (z.d. 7)";LGO;SETTIMIO SEVERO;1;6210;7;panetteria;22;;;22
alimentare;;"LGO USUELLI CELESTINO N. 1 ; isolato:094; accesso: accesso esterno; (z.d. 3)";LGO;USUELLI CELESTINO;1;2192;3;macelleria;44;;;44
alimentare;;"mm1 lima codvia 9108 num.000 ; accesso: accesso esterno; (z.d. 3)";VIA;SETTEMBRINI LUIGI;34;2127;3;bar;2;;;2
alimentare;;"mm1 loreto codvia 9107 num.000 ; isolato:139; accesso: accesso interno; (z.d. 3)";VIA;RONCHI;39;2655;3;salumeria;190;200;;390
alimentare;;"mm1 rovere codvia 9105 num.000 ; isolato:995; accesso: accesso interno; (z.d. 2)";VIA;ARBE;33;1352;2;dolciumi;5;;;70
alimentare;;"mm1 s. bab codvia 9111 num.000 ; isolato:998; accesso: accesso interno; (z.d. 1)";VIA;BANDELLO MATTEO;1;6214;1;pasticceria;100;;;100
alimentare;;"mm-staz. c codvia 9209 num.000 ; (z.d. 3)";VIA;PORPORA NICOLA ANTONIO;125;2229;3;alimentare;104;3;;107
alimentare;;"PAS DUOMO N. 2 ;pas duomo 002; isolato:436; accesso: accesso esterno; (z.d. 1)";PAS;DUOMO;2;102;1;gelateria;32;;;32
alimentare;;"PLE ACCURSIO FRANCESCO N. 4 ; isolato:294; (z.d. 8)";PLE;ACCURSIO FRANCESCO;4;7386;8;bibite e bevande analcoliche;20;30;;50
alimentare;;"PLE BACONE FRANCESCO N. 12 ; isolato:037; accesso: accesso esterno; (z.d. 3)";PLE;BACONE FRANCESCO;12;2100;3;drogheria;10;;;16
alimentare;;"PLE BACONE FRANCESCO N. 6 ; isolato:037; accesso: accesso esterno; (z.d. 3)";PLE;BACONE FRANCESCO;6;2100;3;macelleria islamica;34;20;;54
alimentare;;PLE BAIAMONTI ANTONIO N. 2 (z.d. 9);PLE;BAIAMONTI ANTONIO;2;7235;9;bibite e bevande;22;;;62
alimentare;;"PLE BARACCA FRANCESCO N. 10 ; isolato:217; accesso: accesso esterno; (z.d. 7)";PLE;BARACCA FRANCESCO;10;6180;7;panetteria;18;6;;24
alimentare;;"PLE CADORNA LUIGI N. 2 ;ple cadorna luigi 002; isolato:238; accesso: accesso esterno; (z.d. 1)";PLE;CADORNA LUIGI;2;601;1;vini - olii e liquori in recip;20;55;;75
alimentare;;"PLE CHIESA DAMIANO N. 11 ; isolato:344; accesso: accesso esterno; (z.d. 8)";PLE;CHIESA DAMIANO;11;7164;8;panificio (con forno);36;;;105
alimentare;;"PLE CORVETTO LUIGI EMANUELE N. 1 ; isolato:053; accesso: accesso esterno; (z.d. 4)";PLE;CORVETTO LUIGI EMANUELE;1;4174;4;salumeria - rosticceria - cibi;24;17;;41
alimentare;;"PLE CORVETTO LUIGI EMANUELE N. 3 ; isolato:057; accesso: accesso esterno; (z.d. 4)";PLE;CORVETTO LUIGI EMANUELE;3;4174;4;frutta, verdura e funghi;23;;;23
alimentare;;"PLE CORVETTO LUIGI EMANUELE N. 7 ; isolato:065; accesso: accesso esterno; (z.d. 4)";PLE;CORVETTO LUIGI EMANUELE;7;4174;4;bibite e bevande analcoliche;30;20;;50
alimentare;;"PLE CUOCO VINCENZO N. 5 ; isolato:130; (z.d. 4)";PLE;CUOCO VINCENZO;5;3163;4;bibite e bevande analcoliche;4;;;37
alimentare;;"PLE DI PORTA LODOVICA N. 6 ; isolato:098; (z.d. 5)";PLE;DI PORTA LODOVICA;6;4039;5;bibite e bevande analcoliche;49;6;;55
alimentare;;"PLE FERRARA N. 2 interno merc. comun. coperto; isolato:125; accesso: accesso interno; (z.d. 4)";PLE;FERRARA;2;4158;4;frutta, verdura e funghi;26;;;26
alimentare;;"PLE FERRARA N. 2 interno merc. comun. coperto; isolato:125; accesso: accesso interno; (z.d. 4)";PLE;FERRARA;2;4158;4;latteria;26;;;26
alimentare;;"PLE FERRARA N. 2 interno merc. comun. coperto; isolato:125; accesso: accesso interno; (z.d. 4)";PLE;FERRARA;2;4158;4;macelleria;43;;;43
alimentare;;"PLE FERRARA N. 2 interno merc. comun. coperto; isolato:125; accesso: accesso interno; (z.d. 4)";PLE;FERRARA;2;4158;4;pescheria;29;;;29
alimentare;;"PLE FERRARA N. 2 interno merc. comun. coperto; isolato:125; pto strada:cs; accesso: accesso esterno; (z.d. 4)";PLE;FERRARA;2;4158;4;salumeria - rosticceria - cibi;53;3;;56
alimentare;;"PLE FERRARA N. 2 interno merc. comun. coperto; isolato:125; pto strada:cs; accesso: accesso interno; (z.d. 4)";PLE;FERRARA;2;4158;4;polleria;27;;;27
alimentare;;"PLE FERRARA N. 2 interno merc. comun. coperto; isolato:125; pto strada:cs; accesso: accesso interno; (z.d. 4)";PLE;FERRARA;2;4158;4;salumeria;28;10;;38
alimentare;;"PLE FERRARA N. 2 ; isolato:125; accesso: accesso interno; (z.d. 4)";PLE;FERRARA;2;4158;4;latteria;27;;;27
alimentare;;"PLE GAMBARA VERONICA N. 5 ; isolato:019; accesso: accesso esterno; (z.d. 7)";PLE;GAMBARA VERONICA;5;6593;7;salumeria - rosticceria - cibi;22;;;52
alimentare;;"PLE GORINI PAOLO N. 11 ; isolato:148; accesso: accesso esterno; (z.d. 3)";PLE;GORINI PAOLO;11;3170;3;panineria - focacceria;30;;;70
alimentare;;"PLE GORINI PAOLO N. 2 ; isolato:162; accesso: accesso esterno; (z.d. 3)";PLE;GORINI PAOLO;2;3170;3;bar;60;5;;65
alimentare;;"PLE ISTRIA N. 1 ; isolato:028; accesso: accesso esterno; (z.d. 9)";PLE;ISTRIA;1;1347;9;frutta, verdura e funghi;25;15;;40
alimentare;;"PLE LAGOSTA N. 2 ; isolato:278; accesso: accesso esterno; (z.d. 9)";PLE;LAGOSTA;2;1155;9;panetteria;19;;;28
alimentare;;"PLE LAGOSTA N. 6 ; isolato:279; accesso: accesso esterno; (z.d. 9)";PLE;LAGOSTA;6;1155;9;pasticceria - gelateria;60;100;;160
alimentare;;"PLE LAGOSTA N. 7 interno merc. comun. coperto; accesso: accesso esterno; (z.d. 9)";PLE;LAGOSTA;7;1155;9;macelleria;32;;;32
alimentare;;"PLE LAGOSTA N. 7 interno merc. comun. coperto; accesso: accesso esterno; (z.d. 9)";PLE;LAGOSTA;7;1155;9;salumeria - rosticceria - cibi;14;2;;16
alimentare;;"PLE LAGOSTA N. 7 interno merc. comun. coperto; accesso: accesso interno; (z.d. 9)";PLE;LAGOSTA;7;1155;9;frutta, verdura e funghi;24;;;24
alimentare;;"PLE LAGOSTA N. 7 interno merc. comun. coperto; accesso: accesso interno; (z.d. 9)";PLE;LAGOSTA;7;1155;9;frutta, verdura e funghi;27;;;27
alimentare;;"PLE LAGOSTA N. 7 interno merc. comun. coperto; accesso: accesso interno; (z.d. 9)";PLE;LAGOSTA;7;1155;9;latteria;29;;;29
alimentare;;"PLE LAGOSTA N. 7 interno merc. comun. coperto; accesso: accesso interno; (z.d. 9)";PLE;LAGOSTA;7;1155;9;polleria;13;1;;14
alimentare;;"PLE LAGOSTA N. 7 int. mercati comunali coperti; accesso: accesso esterno; (z.d. 9)";PLE;LAGOSTA;7;1155;9;panetteria;27;2;;29
alimentare;;"PLE LAGOSTA N. 7 int.mercato comunale coperto; accesso: accesso esterno; (z.d. 9)";PLE;LAGOSTA;7;1155;9;drogheria;13;;;13
alimentare;;PLE LAGOSTA N. 7 (z.d. 9);PLE;LAGOSTA;7;1155;9;macelleria;15;;;15
alimentare;;PLE MACIACHINI CARLO N. 20 (z.d. 9);PLE;MACIACHINI CARLO;20;1361;9;gelati;16;2;;18
alimentare;;PLE MACIACHINI CARLO N. 22 (z.d. 9);PLE;MACIACHINI CARLO;22;1361;9;alimenti e bevande tramite distributori automatici in apposito locale ad essi adibito in modo esclusivo;25;;;0
alimentare;;"PLE MARTINI FERDINANDO N. 10 ; isolato:078; accesso: accesso esterno; (z.d. 4)";PLE;MARTINI FERDINANDO;10;3219;4;panificio (con forno);45;80;;125
alimentare;;"PLE MARTINI FERDINANDO N. 1 ; isolato:063; accesso: accesso esterno; (z.d. 4)";PLE;MARTINI FERDINANDO;1;3219;4;bibite e bevande analcoliche;6;;;64
alimentare;;"PLE MARTINI FERDINANDO N. 1 ; isolato:063; accesso: accesso esterno; (z.d. 4)";PLE;MARTINI FERDINANDO;1;3219;4;bibite e bevande analcoliche;150;;;150
alimentare;;"PLE MARTINI FERDINANDO N. 2 ; isolato:077; accesso: accesso esterno; (z.d. 4)";PLE;MARTINI FERDINANDO;2;3219;4;vini - olii e liquori in recip;23;11;;34
alimentare;;"PLE NIGRA COSTANTINO N. 2 ; isolato:097; accesso: accesso esterno; (z.d. 9)";PLE;NIGRA COSTANTINO;2;1236;9;panificio (con forno);30;100;;130
alimentare;;"PLE ROSA GABRIELE N. 11 ; isolato:127; accesso: accesso esterno; (z.d. 4)";PLE;ROSA GABRIELE;11;4288;4;panetteria;20;15;;35
alimentare;;"PLE SIENA N. 4 ; isolato:191; accesso: accesso esterno; (z.d. 7)";PLE;SIENA;4;6616;7;panetteria;18;20;;38
alimentare;;"PLE STAZIONE DI PORTA GENOVA N. 2 ; isolato:048; accesso: accesso esterno; (z.d. 6)";PLE;STAZIONE DI PORTA GENOVA;2;5120;6;paste alimentari;36;40;;76
alimentare;;"PLE UDINE N. 1 ; isolato:066; accesso: accesso esterno; (z.d. 3)";PLE;UDINE;1;2651;3;bibite e bevande analcoliche;1;27;;28
alimentare;;"PLE VELASQUEZ DIEGO N. 9 ; isolato:291; accesso: accesso esterno; (z.d. 7)";PLE;VELASQUEZ DIEGO;9;6595;7;panificio (con forno);55;50;;105
alimentare;;"PTA GIORDANO UMBERTO N. 2 ;pta giordano umberto 002; isolato:264; accesso: accesso esterno; (z.d. 1)";PTA;GIORDANO UMBERTO;2;345;1;pasticceria;20;;;170
alimentare;;"PZA AMATI CARLO N. 1 ; isolato:270; accesso: accesso esterno; (z.d. 7)";PZA;AMATI CARLO;1;6629;7;pasticceria - gelateria;55;23;;78
alimentare;;"PZA AMBROSOLI GIORGIO N. 3 ; isolato:240; (z.d. 7)";PZA;AMBROSOLI GIORGIO;3;6317;7;bibite e bevande analcoliche;30;20;;50
alimentare;;"PZA ARGENTINA N. 3 ; isolato:016; (z.d. 3)";PZA;ARGENTINA;3;2233;3;bibite e bevande analcoliche;2;;;35
alimentare;;"PZA ASPARI DOMENICO N. 2 ; isolato:168; accesso: accesso esterno; (z.d. 3)";PZA;ASPARI DOMENICO;2;3173;3;macelleria;50;60;;110
alimentare;;PZA BAUSAN GIOVANNI N. 8 (z.d. 9);PZA;BAUSAN GIOVANNI;8;1262;9;bevande;15;;;50
alimentare;;"PZA BOLIVAR SIMONE N. 3 ; isolato:152; (z.d. 6)";PZA;BOLIVAR SIMONE;3;6129;6;dolciumi;20;;;20
alimentare;;"PZA BOLIVAR SIMONE N. 6 ; isolato:085; (z.d. 6)";PZA;BOLIVAR SIMONE;6;6129;6;minimercati;32;68;;100
alimentare;;PZA BOLIVAR SIMONE N. 7 (z.d. 6);PZA;BOLIVAR SIMONE;7;6129;6;alimentari vari.;22;;;109
alimentare;;"PZA BONOMELLI GEREMIA N. 4 ; isolato:048; accesso: accesso esterno; (z.d. 5)";PZA;BONOMELLI GEREMIA;4;4150;4;rosticceria;20;;;20
alimentare;;"PZA BOTTINI ENRICO N. 2 ; isolato:084; (z.d. 3)";PZA;BOTTINI ENRICO;2;2572;3;bibite e bevande analcoliche;4;;;57
alimentare;;"PZA BOTTINI ENRICO N. 4 ; isolato:084; accesso: accesso esterno; (z.d. 3)";PZA;BOTTINI ENRICO;4;2572;3;pasticceria;33;;;53
alimentare;;"PZA BOTTINI ENRICO N. 5 ; isolato:039; accesso: accesso esterno; (z.d. 3)";PZA;BOTTINI ENRICO;5;2572;3;bar;153;31;;184
alimentare;;"PZA CASTELLO N. 1 ;pza castello 001; isolato:239; accesso: accesso esterno; (z.d. 1)";PZA;CASTELLO;1;704;1;pasticceria;10;;;0
alimentare;;"PZA CASTELLO N. 1 ;pza castello 001; isolato:239; (z.d. 1)";PZA;CASTELLO;1;704;1;vini - olii e liquori in recip;60;290;;350
alimentare;;"PZA CORDUSIO interno staz.mm1 num.000;ingresso via 9113 num.000; isolato:996; accesso: accesso interno; (z.d. 1)";PZA;CORDUSIO;;626;1;bar;40;;;40
alimentare;;PZA COSTANTINO N. 1A (z.d. 2);PZA;COSTANTINO;1A;2505;2;panificio (con forno);35;80;;115
alimentare;;"PZA DE ANGELI ERNESTO N. 2 ; isolato:212; (z.d. 7)";PZA;DE ANGELI ERNESTO;2;6276;7;caffe crudo e torrefatto;21;;;32
alimentare;;"PZA DEI MERCANTI num.021; isolato:436; accesso: accesso esterno; (z.d. 1)";PZA;DEI MERCANTI;;546;1;bar;20;;;20
alimentare;;"PZA DEL CARMINE N. 1 ;pza del carmine 001; isolato:307; accesso: accesso esterno; (z.d. 1)";PZA;DEL CARMINE;1;129;1;dolciumi;20;7;;27
alimentare;;"PZA DEL CARMINE N. 1 ;pza del carmine 001; isolato:307; accesso: accesso esterno; (z.d. 1)";PZA;DEL CARMINE;1;129;1;macelleria;28;22;;50
alimentare;;"PZA DEL DUOMO num.027; isolato:454; accesso: accesso interno; (z.d. 1)";PZA;DEL DUOMO;;1;1;bar;100;50;;150
alimentare;;PZA DELLA TRIVULZIANA N. 1 (z.d. 9);PZA;DELLA TRIVULZIANA;1;1765;9;erboristeria prodotti naturali macrobiotici dietetici alimentari macerati;20;;;108
alimentare;;"PZA DEL TRICOLORE N. 4 ; isolato:001; (z.d. 1)";PZA;DEL TRICOLORE;4;3047;1;minimercati;22;12;;34
alimentare;;"PZA DERGANO N. 2 ; isolato:058; accesso: accesso esterno; (z.d. 9)";PZA;DERGANO;2;1500;9;bibite e bevande analcoliche;30;23;;53
alimentare;;"PZA DIAZ ARMANDO N. 6 ;pza diaz armando 006; isolato:448; accesso: accesso esterno; (z.d. 1)";PZA;DIAZ ARMANDO;6;339;1;minimercati;150;3850;;4000
alimentare;;"PZA DONEGANI CARLO N. 6 ; isolato:079; accesso: accesso esterno; (z.d. 3)";PZA;DONEGANI CARLO;6;2574;3;frutta, verdura e funghi;24;10;;34
alimentare;;"PZA DONEGANI CARLO N. 6 ; isolato:079; (z.d. 3)";PZA;DONEGANI CARLO;6;2574;3;minimercati;5;;;40
alimentare;;"PZA DUCA D'AOSTA interno staz. centrale box n.2 num.000; accesso: accesso esterno; (z.d. 2)";PZA;DUCA D'AOSTA;;1200;2;abbigliamento;30;;;30
alimentare;;"PZA EMILIA N. 4 ; isolato:248; accesso: accesso esterno; (z.d. 4)";PZA;EMILIA;4;3113;4;pasticceria;35;;;47
alimentare;;"PZA FIRENZE N. 6 ; isolato:007; (z.d. 8)";PZA;FIRENZE;6;7173;8;frutta, verdura e funghi;20;20;;40
alimentare;;PZA FORTUNATO GIUSTINO N. 9 (z.d. 9);PZA;FORTUNATO GIUSTINO;9;1576;9;bibite;12;;;15
alimentare;;"PZA FUSINA ANDREA N. 3 box. n. 8 e 9.; (z.d. 3)";PZA;FUSINA ANDREA;3;3300;3;salumeria e gastronomia.;52;;;52
alimentare;;"PZA FUSINA ANDREA N. 3 inter.mercato comunale coperto; isolato:194; accesso: accesso esterno; (z.d. 3)";PZA;FUSINA ANDREA;3;3300;3;frutta, verdura e funghi;26;3;;29
alimentare;;"PZA FUSINA ANDREA N. 3 interno merc. comun. coperto; isolato:195; accesso: accesso interno; (z.d. 3)";PZA;FUSINA ANDREA;3;3300;3;macelleria;34;;;34
alimentare;;"PZA FUSINA ANDREA N. 3 interno merc. comun. coperto; isolato:195; accesso: accesso interno; (z.d. 3)";PZA;FUSINA ANDREA;3;3300;3;pescheria;37;2;;39
alimentare;;"PZA GARIBALDI ANITA N. 1 ; isolato:129; (z.d. 7)";PZA;GARIBALDI ANITA;1;6786;7;bibite e bevande analcoliche;10;;;40
alimentare;;"PZA GHIRLANDAIO DOMENICO N. 7 ; isolato:007; accesso: accesso esterno; (z.d. 7)";PZA;GHIRLANDAIO DOMENICO;7;6598;7;panetteria;38;40;;78
alimentare;;"PZA GOBETTI PIETRO N. 6 ; isolato:038; accesso: accesso esterno; (z.d. 3)";PZA;GOBETTI PIETRO;6;2561;3;cibi cotti da asportare;16;;;16
alimentare;;"PZA GOBETTI PIETRO N. 8 ; isolato:060; accesso: accesso esterno; (z.d. 3)";PZA;GOBETTI PIETRO;8;2561;3;panificio (con forno);58;70;;128
alimentare;;"PZA GRAMSCI ANTONIO N. 10 ; isolato:062; (z.d. 8)";PZA;GRAMSCI ANTONIO;10;7205;8;minimercati;45;;;45
alimentare;;"PZA GUARDI FRANCESCO N. 15 ; isolato:188; accesso: accesso esterno; (z.d. 3)";PZA;GUARDI FRANCESCO;15;3312;3;panetteria;34;7;;41
alimentare;;"PZA GUARDI FRANCESCO N. 4 ; isolato:189; accesso: accesso esterno; (z.d. 3)";PZA;GUARDI FRANCESCO;4;3312;3;vini - olii e liquori in recip;75;;;75
alimentare;;"PZA INSUBRIA N. 11 ; isolato:127; (z.d. 4)";PZA;INSUBRIA;11;3221;4;alimentari internazionali;45;;;45
alimentare;;"PZA LEGA LOMBARDA N. 3 ; isolato:124; accesso: accesso esterno; (z.d. 1)";PZA;LEGA LOMBARDA;3;7084;1;panificio (con forno);25;75;;100
alimentare;;"PZA MELOZZO DA FORLI' N. 7 ; isolato:188; accesso: accesso esterno; (z.d. 7)";PZA;MELOZZO DA FORLI';7;6619;7;frutta, verdura e funghi;14;10;;24
alimentare;;"PZA MIANI GUGLIELMO N. 2 ; isolato:065; accesso: accesso esterno; (z.d. 6)";PZA;MIANI GUGLIELMO;2;5308;6;macelleria;35;20;;55
alimentare;;PZA MIANI GUGLIELMO N. 2 (z.d. 6);PZA;MIANI GUGLIELMO;2;5308;6;bibite, prodotti del latte, dolciumi, confetteria, gelati;10;;;165
alimentare;;"PZA MINNITI TITO N. 5 ; isolato:269; (z.d. 9)";PZA;MINNITI TITO;5;1133;9;macelleria;45;;;70
alimentare;;"PZA MONTE FALTERONA N. 1 ; isolato:249; accesso: accesso esterno; (z.d. 7)";PZA;MONTE FALTERONA;1;6558;7;rosticceria;36;27;;63
alimentare;;"PZA MONTE FALTERONA N. 2 ; isolato:252; accesso: accesso esterno; (z.d. 7)";PZA;MONTE FALTERONA;2;6558;7;panificio (con forno);47;30;;77
alimentare;;"PZA MONTE FALTERONA N. 2 ; isolato:252; (z.d. 7)";PZA;MONTE FALTERONA;2;6558;7;panetteria;0;;;0
alimentare;;"PZA MONTE FALTERONA N. 4 ; isolato:252; accesso: accesso esterno; (z.d. 7)";PZA;MONTE FALTERONA;4;6558;7;salumeria - rosticceria - cibi;17;;;29
alimentare;;"PZA MONTE TITANO num.000; (z.d. 3)";PZA;MONTE TITANO;;2654;3;minimercati;4;14;;18
alimentare;;"PZA MONTI GIOSIA N. 6 ; isolato:023; accesso: accesso esterno; (z.d. 7)";PZA;MONTI GIOSIA;6;6332;7;panificio (con forno);28;55;;83
alimentare;;"PZA MORBEGNO N. 2 ; isolato:330; accesso: accesso esterno; (z.d. 2)";PZA;MORBEGNO;2;2289;2;panificio (con forno);34;;;34
alimentare;;PZA NAPOLI N. 33 (z.d. 6);PZA;NAPOLI;33;5131;6;prodotti di pamwetteria;34;;;38
alimentare;;"PZA OBERDAN GUGLIELMO N. 3 ; isolato:138; accesso: accesso esterno; (z.d. 3)";PZA;OBERDAN GUGLIELMO;3;2108;3;panetteria;41;;;58
alimentare;;"PZA OTTO NOVEMBRE N. 6 ; isolato:149; accesso: accesso esterno; (z.d. 3)";PZA;OTTO NOVEMBRE;6;2187;3;panetteria;47;;;70
alimentare;;"PZA PASOLINI GIUSEPPE N. 2 ; isolato:157; accesso: accesso esterno; (z.d. 9)";PZA;PASOLINI GIUSEPPE;2;1327;9;bibite e bevande analcoliche;21;;;64
alimentare;;PZA PASOLINI GIUSEPPE N. 2 (z.d. 9);PZA;PASOLINI GIUSEPPE;2;1327;9;bibite in attivita' artigianale (kebab);2;;;45
alimentare;;"PZA PO' N. 10 ; isolato:267; accesso: accesso esterno; (z.d. 7)";PZA;PO';10;6234;7;latteria;75;15;;90
alimentare;;"PZA PREALPI N. 1 interno merc. comun. coperto; isolato:281; accesso: accesso interno; (z.d. 8)";PZA;PREALPI;1;7300;8;frutta, verdura e funghi;30;8;;38
